61 30 #SUP: 50.36%
66 30 #SUP: 50.99%
56 66 30 #SUP: 50.35%
51 30 #SUP: 51.14%
56 51 30 #SUP: 50.5%
56 30 #SUP: 51.73%
30 #SUP: 52.38%
51 66 61 71 100 95 80 #SUP: 56.79%
56 51 66 61 71 100 95 80 #SUP: 55.48%
56 66 61 71 100 95 80 #SUP: 56.93%
66 61 71 100 95 80 #SUP: 58.26%
51 66 61 71 100 95 #SUP: 58.21%
56 51 66 61 71 100 95 #SUP: 56.89%
56 66 61 71 100 95 #SUP: 58.38%
66 61 71 100 95 #SUP: 59.72%
51 66 61 100 95 #SUP: 58.52%
56 51 66 61 100 95 #SUP: 57.2%
56 66 61 100 95 #SUP: 58.7%
66 61 100 95 #SUP: 60.03%
51 66 100 95 #SUP: 58.53%
56 51 66 100 95 #SUP: 57.22%
56 66 100 95 #SUP: 58.71%
66 100 95 #SUP: 60.05%
51 66 61 71 12 #SUP: 51.64%
56 51 66 61 71 12 #SUP: 50.8%
56 66 61 71 12 #SUP: 52.13%
66 61 71 12 #SUP: 52.98%
51 66 61 12 #SUP: 56.6%
56 51 66 61 12 #SUP: 55.76%
56 66 61 12 #SUP: 57.17%
66 61 12 #SUP: 58.03%
51 61 12 #SUP: 57.14%
56 51 61 12 #SUP: 56.3%
56 61 12 #SUP: 57.73%
61 12 #SUP: 58.59%
51 66 12 #SUP: 57.7%
56 51 66 12 #SUP: 56.86%
56 66 12 #SUP: 58.31%
66 12 #SUP: 59.17%
51 12 #SUP: 59.02%
56 51 12 #SUP: 58.18%
56 12 #SUP: 59.66%
12 #SUP: 60.52%
66 23 40 #SUP: 50.61%
56 66 23 40 #SUP: 50.14%
51 23 40 #SUP: 51.5%
56 51 23 40 #SUP: 51.04%
56 23 40 #SUP: 52.41%
23 40 #SUP: 52.87%
66 33 40 #SUP: 50.29%
51 33 40 #SUP: 50.95%
56 51 33 40 #SUP: 50.46%
56 33 40 #SUP: 51.76%
33 40 #SUP: 52.25%
66 61 71 40 #SUP: 50.8%
56 66 61 71 40 #SUP: 50.2%
51 66 61 40 #SUP: 57.62%
56 51 66 61 40 #SUP: 57.03%
56 66 61 40 #SUP: 58.54%
66 61 40 #SUP: 59.14%
51 61 40 #SUP: 58.54%
56 51 61 40 #SUP: 57.94%
56 61 40 #SUP: 59.47%
61 40 #SUP: 60.07%
51 66 40 #SUP: 59.52%
56 51 66 40 #SUP: 58.92%
56 66 40 #SUP: 60.49%
66 40 #SUP: 61.09%
51 40 #SUP: 61.87%
56 51 40 #SUP: 61.27%
56 40 #SUP: 62.87%
40 #SUP: 63.47%
51 66 61 71 33 100 #SUP: 52.6%
56 51 66 61 71 33 100 #SUP: 51.51%
56 66 61 71 33 100 #SUP: 52.83%
66 61 71 33 100 #SUP: 53.94%
51 66 61 33 100 #SUP: 54%
56 51 66 61 33 100 #SUP: 52.91%
56 66 61 33 100 #SUP: 54.25%
66 61 33 100 #SUP: 55.36%
51 66 33 100 #SUP: 54.06%
56 51 66 33 100 #SUP: 52.97%
56 66 33 100 #SUP: 54.32%
66 33 100 #SUP: 55.43%
51 33 100 #SUP: 54.07%
56 51 33 100 #SUP: 52.98%
56 33 100 #SUP: 54.32%
33 100 #SUP: 55.43%
51 66 61 71 100 #SUP: 63.77%
56 51 66 61 71 100 #SUP: 62.46%
56 66 61 71 100 #SUP: 64.11%
66 61 71 100 #SUP: 65.45%
51 66 61 100 #SUP: 65.45%
56 51 66 61 100 #SUP: 64.13%
56 66 61 100 #SUP: 65.81%
66 61 100 #SUP: 67.14%
51 66 100 #SUP: 65.52%
56 51 66 100 #SUP: 64.21%
56 66 100 #SUP: 65.89%
66 100 #SUP: 67.23%
51 100 #SUP: 65.53%
56 51 100 #SUP: 64.21%
56 100 #SUP: 65.89%
100 #SUP: 67.23%
51 66 61 71 33 23 #SUP: 53.73%
56 51 66 61 71 33 23 #SUP: 52.94%
56 66 61 71 33 23 #SUP: 54.3%
66 61 71 33 23 #SUP: 55.1%
51 66 61 33 23 #SUP: 59.97%
56 51 66 61 33 23 #SUP: 59.17%
56 66 61 33 23 #SUP: 60.66%
66 61 33 23 #SUP: 61.47%
51 61 33 23 #SUP: 60.76%
56 51 61 33 23 #SUP: 59.96%
56 61 33 23 #SUP: 61.46%
61 33 23 #SUP: 62.27%
51 66 33 23 #SUP: 61.61%
56 51 66 33 23 #SUP: 60.81%
56 66 33 23 #SUP: 62.35%
66 33 23 #SUP: 63.16%
51 33 23 #SUP: 63.6%
56 51 33 23 #SUP: 62.8%
56 33 23 #SUP: 64.37%
33 23 #SUP: 65.19%
51 66 61 71 23 #SUP: 65.13%
56 51 66 61 71 23 #SUP: 64.16%
56 66 61 71 23 #SUP: 65.88%
66 61 71 23 #SUP: 66.86%
51 66 61 23 #SUP: 72.78%
56 51 66 61 23 #SUP: 71.8%
56 66 61 23 #SUP: 73.67%
66 61 23 #SUP: 74.66%
51 61 23 #SUP: 73.7%
56 51 61 23 #SUP: 72.72%
56 61 23 #SUP: 74.6%
61 23 #SUP: 75.6%
51 66 23 #SUP: 74.72%
56 51 66 23 #SUP: 73.74%
56 66 23 #SUP: 75.67%
66 23 #SUP: 76.66%
51 23 #SUP: 77.14%
56 51 23 #SUP: 76.16%
56 23 #SUP: 78.12%
23 #SUP: 79.12%
51 66 61 71 33 #SUP: 69.43%
56 51 66 61 71 33 #SUP: 68.31%
56 66 61 71 33 #SUP: 70.04%
66 61 71 33 #SUP: 71.18%
51 66 61 33 #SUP: 76.64%
56 51 66 61 33 #SUP: 75.51%
56 66 61 33 #SUP: 77.39%
66 61 33 #SUP: 78.53%
51 61 33 #SUP: 77.48%
56 51 61 33 #SUP: 76.36%
56 61 33 #SUP: 78.25%
61 33 #SUP: 79.39%
51 66 33 #SUP: 78.35%
56 51 66 33 #SUP: 77.23%
56 66 33 #SUP: 79.16%
66 33 #SUP: 80.3%
51 33 #SUP: 80.44%
56 51 33 #SUP: 79.31%
56 33 #SUP: 81.28%
33 #SUP: 82.43%
51 66 61 71 #SUP: 84.17%
56 51 66 61 71 #SUP: 82.82%
56 66 61 71 #SUP: 84.98%
66 61 71 #SUP: 86.35%
51 66 61 #SUP: 92.97%
56 51 66 61 #SUP: 91.62%
56 66 61 #SUP: 93.94%
66 61 #SUP: 95.32%
51 61 #SUP: 93.96%
56 51 61 #SUP: 92.61%
56 61 #SUP: 94.95%
61 #SUP: 96.32%
51 66 #SUP: 95.01%
56 51 66 #SUP: 93.65%
56 66 #SUP: 96.04%
66 #SUP: 97.42%
51 #SUP: 97.55%
56 51 #SUP: 96.19%
56 #SUP: 98.62%
